strip_id,score,usable_frames,note,T,stride,condition,padding_fraction,scene,resolution,fps,video,track_id,centre_frame,centre_equiv_side
E0174,usable,8,,8,1,A,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0176,usable,,,8,1,B,0.75,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0178,usable,16,,16,1,A,0.3,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0180,usable,16,,16,1,B,1.0,seaside,1920x1080,29.97002997002997,00_06_10_to_00_06_27,4,397,21.5407
E0182,usable,3,,3,1,AB,0.3,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0184,usable,,,5,1,A,0.3,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0186,usable,5,,5,1,B,0.5,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0188,usable,8,,8,1,A,0.3,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0190,usable,8,,8,1,B,0.75,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0192,usable,16,,16,1,A,0.3,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0194,usable,16,,16,1,B,1.0,seaside,1920x1080,29.97002997002997,00_09_30_to_00_10_09,1,874,16.2481
E0196,usable,3,,3,1,AB,0.3,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0198,usable,5,,5,1,A,0.3,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0200,usable,,,5,1,B,0.5,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0202,usable,8,,8,1,A,0.3,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0204,usable,8,,8,1,B,0.75,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0206,usable,16,,16,1,A,0.3,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
E0208,usable,16,,16,1,B,1.0,seaside,1920x1080,50.0,00_02_45_to_00_03_10_cut,0,111,16.8819
